Name	Wikipedia
Abraham Lincoln	https://en.wikipedia.org/wiki/Abraham_Lincoln
Adam Sandler	https://en.wikipedia.org/wiki/Adam_Sandler
Adolf Hitler	https://en.wikipedia.org/wiki/Adolf_Hitler
Al Gore	https://en.wikipedia.org/wiki/Al_Gore
Albert Einstein	https://en.wikipedia.org/wiki/Albert_Einstein
Alexander Hamilton	https://en.wikipedia.org/wiki/Alexander_Hamilton
Alfred Hitchcock	https://en.wikipedia.org/wiki/Alfred_Hitchcock
Amelia Earhart	https://en.wikipedia.org/wiki/Amelia_Earhart
Amy Poehler	https://en.wikipedia.org/wiki/Amy_Poehler
Amy Schumer	https://en.wikipedia.org/wiki/Amy_Schumer
Andrew Dice Clay	https://en.wikipedia.org/wiki/Angelina_Jolie
Angelina Jolie	https://en.wikipedia.org/wiki/Angelina_Jolie
Anne Frank	https://en.wikipedia.org/wiki/Anne_Frank
Arnold Schwarzenegger	https://en.wikipedia.org/wiki/Arnold_Schwarzenegger
Ashton Kutcher	https://en.wikipedia.org/wiki/Ashton_Kutcher
Audrey Hepburn	https://en.wikipedia.org/wiki/Audrey_Hepburn
Aung San Suu Kyi	https://en.wikipedia.org/wiki/Aung_San_Suu_Kyi
Aziz Ansari	https://en.wikipedia.org/wiki/Aziz_Ansari
Babe Ruth	https://en.wikipedia.org/wiki/Babe_Ruth
Barack Obama	https://en.wikipedia.org/wiki/Barack_Obama
Bart Simpson	https://en.wikipedia.org/wiki/Bart_Simpson
Batman	https://en.wikipedia.org/wiki/Batman
Benazir Bhutto	https://en.wikipedia.org/wiki/Benazir_Bhutto
Benito Mussolini	https://en.wikipedia.org/wiki/Benito_Mussolini
Beyoncé	https://en.wikipedia.org/wiki/Beyonc%C3%A9
Bill Cosby	https://en.wikipedia.org/wiki/Bill_Cosby
Bill Gates	https://en.wikipedia.org/wiki/Bill_Gates
Bill Maher	https://en.wikipedia.org/wiki/Bill_Maher
Billie Holiday	https://en.wikipedia.org/wiki/Billie_Holiday
Billie Jean King	https://en.wikipedia.org/wiki/Billie_Jean_King
Bob Geldof	https://en.wikipedia.org/wiki/Bob_Geldof
Brad Pitt	https://en.wikipedia.org/wiki/Brad_Pitt
Britney Spears	https://en.wikipedia.org/wiki/Britney_Spears
Bruce Willis	https://en.wikipedia.org/wiki/Bruce_Willis
C.S. Lewis	https://en.wikipedia.org/wiki/C._S._Lewis
Charles Darwin	https://en.wikipedia.org/wiki/Charles_Darwin
Charles de Gaulle	https://en.wikipedia.org/wiki/Charles_de_Gaulle
Charlie Chaplan	https://en.wikipedia.org/wiki/Charlie_Chaplin
Cher	https://en.wikipedia.org/wiki/Cher
Chris Rock	https://en.wikipedia.org/wiki/Chris_Rock
Christopher Columbus	https://en.wikipedia.org/wiki/Christopher_Columbus
Cleopatra	https://en.wikipedia.org/wiki/Cleopatra
Coco Chanel	https://en.wikipedia.org/wiki/Coco_Chanel
Conan O’Brien	https://en.wikipedia.org/wiki/Conan_O%27Brien
Dalai Lama	https://en.wikipedia.org/wiki/Dalai_Lama
Darth Vader	https://en.wikipedia.org/wiki/Darth_Vader
Dave Chappellek	https://en.wikipedia.org/wiki/Dave_Chappelle
David Beckham	https://en.wikipedia.org/wiki/David_Beckham
David Letterman	https://en.wikipedia.org/wiki/David_Letterman
Denzel Washington	https://en.wikipedia.org/wiki/Denzel_Washington
Desmond Tutu	https://en.wikipedia.org/wiki/Desmond_Tutu
Donald Trump	https://en.wikipedia.org/wiki/Donald_Trump
Ellen DeGeneres	https://en.wikipedia.org/wiki/Ellen_DeGeneres
Elvis Presley	https://en.wikipedia.org/wiki/Elvis_Presley
Emma Stone	https://en.wikipedia.org/wiki/Emma_Stone
Ernest Hemingway	https://en.wikipedia.org/wiki/Ernest_Hemingway
Eva Perón	https://en.wikipedia.org/wiki/Eva_Per%C3%B3n
Fidel Castro	https://en.wikipedia.org/wiki/Fidel_Castro
François Duvalier	https://en.wikipedia.org/wiki/Fran%C3%A7ois_Duvalier
Franklin D. Roosevelt	https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
GeorgeW.  Bush	https://en.wikipedia.org/wiki/George_W._Bush
George Carlin	https://en.wikipedia.org/wiki/George_Carlin
George Orwell	https://en.wikipedia.org/wiki/George_Orwell
George Washington	https://en.wikipedia.org/wiki/George_Washington
Goofy	https://en.wikipedia.org/wiki/Goofy
Grace Kelly	https://en.wikipedia.org/wiki/Grace_Kelly
Henry Ford	https://en.wikipedia.org/wiki/Henry_Ford
Indira Gandhi	https://en.wikipedia.org/wiki/Indira_Gandhi
Ingrid Bergman	https://en.wikipedia.org/wiki/Ingrid_Bergman
Ivan the Terrible	https://en.wikipedia.org/wiki/Ivan_the_Terrible
J.K.Rowling	https://en.wikipedia.org/wiki/J._K._Rowling
J.R.R. Tolkien	https://en.wikipedia.org/wiki/J._R._R._Tolkien
Jacqueline Kennedy	https://en.wikipedia.org/wiki/Jacqueline_Kennedy_Onassis
Jawaharlal Nehru	https://en.wikipedia.org/wiki/Jawaharlal_Nehru
Jay Z	https://en.wikipedia.org/wiki/Jay-Z
Jennifer Aniston	https://en.wikipedia.org/wiki/Jennifer_Aniston
Jesse Owens	https://en.wikipedia.org/wiki/Jesse_Owens
Jim Carrey	https://en.wikipedia.org/wiki/Jim_Carrey
Joan Rivers	https://en.wikipedia.org/wiki/Joan_Rivers
John F. Kennedy	https://en.wikipedia.org/wiki/John_F._Kennedy
John Lennon	https://en.wikipedia.org/wiki/John_Lennon
John M Keynes	https://en.wikipedia.org/wiki/John_Maynard_Keynes
Johnny Depp	https://en.wikipedia.org/wiki/Johnny_Depp
Jon Stewart	https://en.wikipedia.org/wiki/Jon_Stewart
Joseph Stalin	https://en.wikipedia.org/wiki/Joseph_Stalin
Julia Roberts	https://en.wikipedia.org/wiki/Julia_Roberts
Justin Bieber	https://en.wikipedia.org/wiki/Justin_Bieber
Katherine Hepburn	https://en.wikipedia.org/wiki/Katharine_Hepburn
Kim Jong-Il	https://en.wikipedia.org/wiki/Kim_Jong-il
Kim Kardashian	https://en.wikipedia.org/wiki/Kim_Kardashian
Lady Gaga	https://en.wikipedia.org/wiki/Lady_Gaga
Larry David	https://en.wikipedia.org/wiki/Larry_David
Leo Tolstoy	https://en.wikipedia.org/wiki/Leo_Tolstoy
Leon Trotsky	https://en.wikipedia.org/wiki/Leon_Trotsky
Leonardo da Vinci	https://en.wikipedia.org/wiki/Leonardo_da_Vinci
Leonardo DiCaprio	https://en.wikipedia.org/wiki/Leonardo_DiCaprio
Lionel Messi	https://en.wikipedia.org/wiki/Lionel_Messi
Louis CK	https://en.wikipedia.org/wiki/Louis_C.K.
Louis Pasteur	https://en.wikipedia.org/wiki/Louis_Pasteur
Ludwig Beethoven	https://en.wikipedia.org/wiki/Ludwig_van_Beethoven
Luke Skywalker	https://en.wikipedia.org/wiki/Luke_Skywalker
Lyndon Johnson	https://en.wikipedia.org/wiki/Lyndon_B._Johnson
Madonna	https://en.wikipedia.org/wiki/Madonna_(entertainer)
Mahatma Gandhi	https://en.wikipedia.org/wiki/Mahatma_Gandhi
Malcolm X	https://en.wikipedia.org/wiki/Malcolm_X
Mao Zedong	https://en.wikipedia.org/wiki/Mao_Zedong
Margaret Cho	https://en.wikipedia.org/wiki/Margaret_Cho
Margaret Thatcher	https://en.wikipedia.org/wiki/Margaret_Thatcher
Mariah Carey	https://en.wikipedia.org/wiki/Mariah_Carey
Marilyn Monroe	https://en.wikipedia.org/wiki/Marilyn_Monroe
Martin Luther King	https://en.wikipedia.org/wiki/Martin_Luther_King
Mary Magdalene	https://en.wikipedia.org/wiki/Mary_Magdalene
Michael Jackson	https://en.wikipedia.org/wiki/Michael_Jackson
Michael Jordon	https://en.wikipedia.org/wiki/Michael_Jordon
Mickey Mouse	https://en.wikipedia.org/wiki/Mickey_Mouse
Mikhail Gorbachev	https://en.wikipedia.org/wiki/Mikhail_Gorbachev
Morgan Freeman	https://en.wikipedia.org/wiki/Morgan_Freeman
Mother Teresa	https://en.wikipedia.org/wiki/Mother_Teresa
Muhammad Ali	https://en.wikipedia.org/wiki/Muhammad_Ali
Neil Armstrong	https://en.wikipedia.org/wiki/Neil_Armstrong
Nelson Mandela	https://en.wikipedia.org/wiki/Nelson_Mandela
Oprah Winfrey	https://en.wikipedia.org/wiki/Oprah_Winfrey
Oscar Wilde	https://en.wikipedia.org/wiki/Oscar_Wilde
Pablo Picasso	https://en.wikipedia.org/wiki/Pablo_Picasso
Paul McCartney	https://en.wikipedia.org/wiki/Paul_McCartney
Peter Sellers	https://en.wikipedia.org/wiki/Peter_Sellers
Plato	https://en.wikipedia.org/wiki/Plato
Pope Francis	https://en.wikipedia.org/wiki/Pope_Francis
Pope John Paul	https://en.wikipedia.org/wiki/Pope_John_Paul_II
Prince Charles	https://en.wikipedia.org/wiki/Charles,_Prince_of_Wales
Princes Diana	https://en.wikipedia.org/wiki/Diana,_Princess_of_Wales
Queen Elizabeth II	https://en.wikipedia.org/wiki/Elizabeth_II
Queen Victoria	https://en.wikipedia.org/wiki/Queen_Victoria
Richard Branson	https://en.wikipedia.org/wiki/Richard_Branson
Richard Pryor	https://en.wikipedia.org/wiki/Richard_Pryor
Robin Williams	https://en.wikipedia.org/wiki/Robin_Williams
Rodney Dangerfield	https://en.wikipedia.org/wiki/Rodney_Dangerfield
Roger Federer	https://en.wikipedia.org/wiki/Roger_Federer
Ronald Reagan	https://en.wikipedia.org/wiki/Ronald_Reagan
Rosa Parks	https://en.wikipedia.org/wiki/Rosa_Parks
Roseanne Barr	https://en.wikipedia.org/wiki/Roseanne_Barr
Saddam Hussein	https://en.wikipedia.org/wiki/Saddam_Hussein
Sandra Bullock	https://en.wikipedia.org/wiki/Sandra_Bullock
Sarah Silverman	https://en.wikipedia.org/wiki/Sarah_Silverman
Scarlett Johansson	https://en.wikipedia.org/wiki/Scarlett_Johansson
Seth Rogen	https://en.wikipedia.org/wiki/Seth_Rogen
